fil,X,Y,Z,minus end point,min_end,ydir,zdir,length,relative_angle,relative_angle_90,dot_product
1,1326,1195,85,first,1,-81.62436319629735,-2.637428223051418,304.2449670906653,89.90002982190771,0.09997017809228655,0.0017448078762118957
2,1281,958,82,first,1,84.89478691180125,-1.6543888818824444,138.54963009694396,85.82862327369791,4.171376726302081,0.07273995924818213
8,1359,1146,139,first,1,-88.46963043519642,4.155799986149611,469.1673475424308,96.63709502348502,-6.637095023485021,-0.11558026598265472
11,1453,1231,131,last,-1,-69.24005923342071,5.051012493488696,329.38579204331205,82.44541583269226,7.554584167307733,0.13147065603090996
12,1241,1011,93,last,-1,-49.20312582621569,-0.7427376550619358,385.71751321401,88.48142169845713,1.5185783015428758,0.026501088344182175
13,1157,838,94,first,1,76.71192609329059,-0.0,482.9296014948763,87.4546800507368,2.545319949263207,0.044409603129201385
15,1377,1112,100,last,-1,-65.29691933464753,-5.793466920145568,158.50552040859648,93.27030348475417,-3.270303484754168,-0.057046576723126005
16,1100,781,109,last,-1,85.01994897872805,-2.9934314904131427,248.93975174728524,95.50642423297863,-5.506424232978628,-0.0959573597381714
17,1120,723,117,last,-1,74.08261975772824,1.5138836708694319,189.25643978475344,91.02981011915446,-1.0298101191544675,-0.017972609539436864
23,1155,1214,99,first,1,65.79008406328694,-1.1360867811810007,151.30763364747992,86.36318793851876,3.636812061481234,0.06343173039210666
26,1380,1351,115,first,1,47.65116111816894,2.762691425305046,62.24146527838174,90.52917574355278,-0.5291757435527833,-0.009235727742434419
27,1431,1406,110,last,-1,52.125016348901795,-0.0,34.20526275297414,92.31773212065526,-2.317732120655268,-0.040441025172768624
31,1060,1208,165,last,-1,41.689718579409366,-9.715486161354953,100.73728207570423,100.79379951165387,-10.793799511653871,-0.18727501140671293
36,1338,970,113,first,1,-62.22510223650052,0.6850765804322656,83.63611660042568,93.15105809295403,-3.1510580929540315,-0.05496861920676627
38,1259,819,108,first,1,-63.639976583174196,1.2522525238133646,137.27344972717776,93.73263855165001,-3.7326385516500173,-0.06510076057273259
39,1082,1320,137,first,1,-59.89402337430127,-11.594425835488325,114.43775600735974,80.47090179343712,9.52909820656288,0.16554847907775247
40,1353,1278,128,first,1,-59.63491675390765,5.8260408107428585,98.51395840184273,98.22381306936808,-8.223813069368074,-0.1430402886737232
41,1358,1287,133,last,-1,68.78656980477356,2.22611673386382,154.46682491719702,90.29803254009171,-0.29803254009170654,-0.005201625645744334
42,1330,908,113,last,-1,-71.80809566194732,1.3781561089406653,166.31295800387895,86.08586313073918,3.9141368692608145,0.06826145213769061
43,1279,735,109,first,1,-73.02028915541386,-0.0,136.97079980784227,92.54054966349227,-2.5405496634922704,-0.04432642792338793
46,1097,943,119,last,-1,-80.73362881463073,-1.1507652924656264,348.5484184442672,88.61217198153552,1.3878280184644705,0.024219799864491853
47,1486,1078,143,first,1,34.638733239983026,-0.4285161700941662,133.70863846438644,87.67715620273833,2.3228437972616685,0.040530167613933396
49,1173,761,122,last,-1,-67.12107814617715,-7.2564801869985835,134.58826100369973,94.69350662109161,-4.693506621091616,-0.08182555835032931
52,1373,880,88,last,-1,23.43965593288471,-2.682307549188666,213.68434664242488,94.2066733316858,-4.206673331685804,-0.07335435545344124
55,1493,619,114,first,1,70.37524124615732,3.085354107140278,297.2675562519395,90.54979604254007,-0.5497960425400704,-0.009595603897137095
59,1535,1365,156,last,-1,30.736633658020338,4.6287355716125935,74.35052118176442,87.1667987702601,2.8332012297399,0.04942854052783143
