fil,X,Y,Z,minus end point,min_end,ydir,zdir,length,relative_angle,relative_angle_90,dot_product
87,1131,615,167,first,1,48.25656093686217,11.840431172157158,53.60970061472084,87.28290991707284,2.717090082927153,0.04740439570009787
97,917,552,149,first,1,39.57874165026933,-2.988153493611199,172.64703878143987,92.17758260025786,-2.1775826002578644,-0.037996837113445085
104,693,425,104,first,1,-38.24741998319791,-17.448984544523608,206.76556773312137,149.1491498039175,-59.14914980391752,-0.8585051189488857
105,1013,486,269,last,-1,-28.46090383984878,-2.2253965443128725,283.2807794397636,104.18338301046359,-14.183383010463594,-0.24502621588253498
115,486,295,351,last,-1,-30.90991867792928,3.631064463653598,142.10911300827965,100.4832370095152,-10.4832370095152,-0.18194784742167106
124,601,385,240,last,-1,28.187962063286992,-0.330057371308263,173.59435474692143,76.11904283930332,13.88095716069668,0.23990540164758795
127,968,793,88,last,-1,88.89118787224037,7.412277776668662,155.0290295396317,135.5246354043287,-45.5246354043287,-0.7135517524124795
128,930,414,100,last,-1,68.50310097138328,-3.492707401560173,180.5602392554906,157.20271345347825,-67.20271345347825,-0.921881502788051
129,972,993,98,first,1,-85.04436303413608,-2.162695383492586,132.495282934903,130.76346726873226,-40.76346726873224,-0.6529377987006499
149,1145,1002,172,last,-1,-87.06938002995973,-6.21344557506296,203.26583579145807,44.25684768509713,45.74315231490287,0.7162185421257751
150,697,240,226,first,1,62.12900597690514,4.224627511149164,190.04473157654226,71.95795241553647,18.042047584463536,0.30971486179584645
151,923,882,304,last,-1,-30.752857645301653,10.481474377251034,203.38879025157703,16.612843699691506,73.3871563003085,0.9582585090984885
154,1011,619,312,last,-1,60.6700276857241,15.346606149464892,64.2339474110069,103.36351560688217,-13.363515606882174,-0.23112841934586636
155,1084,950,252,first,1,-46.10838452658991,-10.268035219004366,392.6996307612219,91.25773782024359,-1.2577378202435965,-0.02194990313704453
168,1014,837,224,last,-1,-32.83058380596868,5.396506531095129,180.75950874020432,16.26793226810019,73.73206773189982,0.9599622272875723
169,946,678,112,last,-1,-87.94664864467765,-3.986449631366916,230.1477786119171,44.04573328404557,45.95426671595443,0.7187850974459093
175,932,496,139,first,1,46.14762574132114,5.9129972101117865,252.3826459961144,87.79092717916474,2.2090728208352592,0.03854604248396638
176,972,467,196,last,-1,36.85714333921197,11.91709127100938,203.39370688396434,81.9858212231369,8.014178776863107,0.13941815471086794
182,985,270,187,first,1,47.007454609252896,-0.473548488618653,241.98760298825226,85.50412573765183,4.495874262348163,0.07838730979412599
185,1115,171,150,last,-1,36.206067221537154,-2.8214825323211823,365.6733515037704,165.04449669960454,-75.04449669960454,-0.9661265374515865
196,609,469,226,last,-1,-36.74591003108031,-8.723916513710329,237.35205918634875,97.44079195634954,-7.4407919563495435,-0.12950158807388212
198,1004,194,207,first,1,35.90821510134913,10.740482106247494,182.44177153272767,98.70480999472215,-8.704809994722154,-0.15134380401799039
204,482,281,141,last,-1,37.57466538603833,-6.843355119046403,285.34190018292094,86.74486805564699,3.255131944353004,0.05678221260484921
205,462,594,85,first,1,-56.306518030814054,-0.36114690755707823,158.65055940651453,103.37263518822498,-13.37263518822498,-0.23128327342110722
208,340,367,149,first,1,76.672231778474,29.1130008045336,14.38749456993816,71.46621652425361,18.533783475746393,0.31786376402682287
211,838,346,275,last,-1,62.64391682981277,33.592663960271196,343.4035526898346,100.63252872230211,-10.632528722302107,-0.184509366072043
212,908,406,249,last,-1,54.382916622132306,21.24699860049445,306.3005060394122,96.4305303790976,-6.430530379097606,-0.11199845119402306
213,629,208,326,last,-1,51.80735927752379,-4.0972032181447195,237.9327636119078,99.98199617157636,-9.981996171576352,-0.17333871681550386
214,490,177,307,first,1,39.721384542369265,6.36468957241943,460.05434461593774,94.10892912125277,-4.10892912125277,-0.07165288719404861
225,897,180,311,last,-1,57.29698097353847,3.445890190552896,166.37307474468338,103.57542895737905,-13.57542895737904,-0.23472527030003387
227,405,192,303,last,-1,36.513004074398474,20.034064275537265,55.46169849544819,80.10682953771267,9.893170462287337,0.1718116760761578
228,628,443,262,first,1,-47.6776291686685,-4.463743667058593,179.88329550016587,94.06726504170366,-4.067265041703663,-0.07092756205643636
230,628,438,260,first,1,-44.858351670729746,-3.6765179159398858,311.8990221209422,91.48875778437768,-1.4887577843776758,-0.025980801364926087
242,757,186,195,first,1,35.78609919605706,8.971098846079405,25.65151067676132,98.67325578777664,-8.673255787776643,-0.1507993999874977
243,678,182,199,last,-1,51.081891738042614,6.381568141816604,107.96295661012624,96.82917278416573,-6.829172784165735,-0.11890953238261882
246,1009,891,188,first,1,-54.984075740134,-7.917465081287755,667.8937041176538,100.30203130553008,-10.302031305530086,-0.1788370966503264
247,594,186,355,last,-1,88.04134357732794,0.8546929580158226,134.07833531186162,133.67049514106802,-43.67049514106801,-0.6905100225443702
256,516,312,242,last,-1,46.762860796337336,23.001435074920533,150.99006589838947,145.92339956863555,-55.92339956863556,-0.8282892302541338
258,715,328,266,first,1,15.560221896735056,11.046634780731267,339.23443221465595,39.53481427643865,50.46518572356135,0.7712379447332033
260,1005,856,297,first,1,53.8101640163877,0.37594922059313385,152.40406818717145,79.06814724226501,10.93185275773498,0.18964131944671694
270,1075,846,302,last,-1,6.69764830382463,61.01242174992738,68.59300255857006,54.74516520045477,35.25483479954523,0.5772140987861462
275,923,608,299,first,1,-62.883809235395795,-6.738742055994816,349.40520889076623,108.18498041816382,-18.18498041816382,-0.31208588101246876
276,964,921,155,first,1,-73.8377956948961,-6.717912931493979,324.83842137284194,118.62084847796332,-28.62084847796332,-0.4790113019334004
278,710,312,312,last,-1,55.255939767162495,4.956208790854643,520.8675455430104,101.25464785141396,-11.254647851413958,-0.19516988298044521
281,405,535,108,last,-1,54.07157057576006,5.3799887068523535,117.32007500849971,160.75395036048806,-70.75395036048806,-0.9441117492628702
294,1140,985,197,last,-1,-26.0536206919069,4.723787078653088,145.71547618561317,104.91685739053771,-14.916857390537716,-0.2574171062615983
303,663,480,190,last,-1,-43.30017112275542,2.241054197762464,332.4484922510553,88.73817701401467,1.2618229859853365,0.02202118549579577
307,848,497,86,last,-1,-71.87495390024753,-3.8280407364632354,254.63503293930316,29.39572491498041,60.60427508501959,0.8712504371395584
311,1113,814,126,first,1,,15.620463823772676,170.83617883809038,52.1087840241356,37.8912159758644,0.6141642182866569
327,894,701,99,last,-1,-72.58982844743565,3.747253104202116,153.0098036074813,59.92867393321857,30.071326066781435,0.5010777054148471
328,832,698,122,last,-1,-69.74853858621033,4.3099312246106445,412.49969696958567,23.53544141467686,66.46455858532313,0.9168132449909797
329,904,814,100,last,-1,-85.98276967717521,2.5473492637411277,404.9950616982879,47.227879859478996,42.772120140521004,0.6790841943032255
330,950,765,134,first,1,-59.34070368313849,-2.3365089053111574,245.28758631451367,105.86972818747537,-15.869728187475378,-0.2734510513832499
334,1134,959,203,first,1,-21.44539313864878,-10.713934269434786,161.37224048763778,67.38064254222806,22.619357457771937,0.3846072085608142
336,1106,616,143,first,1,76.18498439893906,-8.949277881952593,212.13674834879504,55.195256762872226,34.804743237127774,0.5707815446522639
337,844,317,148,last,-1,-25.738131487676338,-13.280384121222092,317.78294479093745,108.87054751723032,-18.870547517230325,-0.32343104705934095
339,483,257,344,last,-1,-28.664444396633783,-1.0849432651434476,158.4392628107061,103.73402888285217,-13.73402888285217,-0.23741512287336922
341,377,240,300,last,-1,16.33415348728081,5.379163951344018,672.0267851804718,63.323327720485906,26.676672279514094,0.44895522921779807
350,941,870,115,first,1,-75.4566453367813,-2.3339099019487723,319.22875810302554,121.42698499811924,-31.42698499811924,-0.5214115768907277
353,766,192,192,first,1,25.730288939684392,9.083134548624335,25.337718918639855,108.36710570861817,-18.367105708618173,-0.31510422224890333
357,944,538,168,first,1,89.52426373237027,2.9145010189601352,295.01016931624577,43.94241575573112,46.05758424426888,0.7200375926595066
359,1135,501,183,last,-1,-33.94781370113617,-5.140599095479875,479.9104083055503,99.44958328854074,-9.449583288540737,-0.1641796722773617
379,1147,961,278,last,-1,-19.484422292737772,-12.03265264627142,47.968739820845826,114.66209589329749,-24.66209589329749,-0.4172659574920179
384,1013,680,81,first,1,73.55456813893544,-3.504014060869142,212.7016690108472,58.91186462951873,31.088135370481268,0.5163560047029004
388,896,410,261,first,1,-24.825706585677906,2.372412676429339,338.20851556399344,73.32981873251693,16.670181267483066,0.28686199654732003
392,1047,413,301,first,1,-53.91959917018336,36.782676622737526,305.62067992856765,106.07318627404788,-16.073186274047885,-0.2768649900259613
396,904,387,320,last,-1,-23.59751468588252,8.156750900424008,197.34740940787646,23.971928930711396,66.02807106928861,0.9137446215280787
399,1007,653,94,last,-1,41.442763685264595,-7.481394560327641,184.32579851990334,90.64216073116181,-0.6421607311618026,-0.011207584441839221
403,1120,205,182,first,1,53.2606047814377,23.620837458473147,57.40209055426466,85.46057064845925,4.539429351540747,0.07914512769702119
405,911,614,137,first,1,74.97894038683341,7.04478695035434,326.1441399136278,60.54968925642477,29.45031074357523,0.49166856676539344
408,881,496,93,first,1,-61.09327583892452,-10.82678737887707,282.1542131530203,152.93408377289506,-62.93408377289506,-0.8904836389308598
424,933,194,99,first,1,30.48115240649168,5.238737975457417,197.13954448562572,24.693842714586193,65.3061572854138,0.9085530783253322
427,855,267,91,first,1,63.211633325238324,-2.917516669216021,255.41143279031186,18.43054759097573,71.56945240902427,0.9487075866000154
444,1075,925,151,first,1,79.57369405337235,18.374135869573593,79.30952023559341,61.354450589521804,28.645549410478196,0.47938969181363666
445,1123,736,239,last,-1,-31.2894625431412,-23.121877578613393,78.9430174239622,104.7686836654358,-14.768683665435796,-0.2549172801030104
449,1149,235,113,last,-1,-47.563443677934146,-24.528073025947652,21.6794833886788,89.28486611395087,0.7151338860491243,0.012481116833607808
453,694,250,233,first,1,83.0742185192315,5.998076281792498,133.9776100697426,52.897561574794786,37.102438425205214,0.6032419312132318
454,333,560,115,first,1,-36.56441166740665,-20.942794511181056,50.35871324805669,145.79143671076324,-55.79143671076323,-0.8269965574092416
456,434,190,185,first,1,43.37982098763334,45.49981408178247,75.7099729229908,48.21680555005615,41.78319444994385,0.6663137843895992
471,963,911,167,last,-1,-77.63656014846929,-15.182718082418662,141.2763249805147,60.4381552062077,29.561844793792297,0.493362730888575
472,1170,756,142,last,-1,-31.05856352427249,13.931390954701698,87.2238499494261,97.94070996067164,-7.940709960671638,-0.13814829089282216
476,959,804,112,last,-1,-82.29726795506416,-2.3735237126957522,338.0502921164246,52.037771290155796,37.9622287098442,0.6151418585941663
495,947,742,239,first,1,-60.70607050812746,-29.290554222371775,141.03545653487282,100.43873809018007,-10.43873809018007,-0.18118410371274024
504,708,418,197,last,-1,-45.42756515090682,-20.680925022114952,331.291412505667,91.48088396151152,-1.480883961511529,-0.02584342337491133
505,899,607,157,last,-1,-76.4894265544253,9.981362528542412,236.54597861726586,55.08032925888006,34.91967074111994,0.5724274136060802
506,824,387,147,first,1,83.13561478961225,-3.3236197630951048,137.98913000667844,49.50412135462153,40.49587864537847,0.6493933497305618
512,859,550,289,last,-1,37.48645931600887,5.821463813108376,285.91432283115864,83.83024467807923,6.169755321920779,0.10747455899596607
513,1067,602,231,last,-1,69.39046823192035,4.50496808831643,152.7776161615307,114.90736699163509,-24.90736699163509,-0.4211524360279103
