     c      x      y      z
     1      0    834    112
     1   1918    954    112
     2      0    836    111
     2   1919    954    111
     3      0    837    110
     3   1915    958    110
     4      0    839    109
     4   1916    952    109
     5      0    836    108
     5   1915    961    108
     6      5    842    107
     6   1919    949    107
     7      0    836    106
     7   1909    961    106
     8      2    842    105
     8   1910    955    105
     9      2    836    104
     9   1909    961    104
    10      2    836    103
    10   1916    952    103
    11      8    843    102
    11   1916    952    102
    12      2    842    101
    12   1912    958    101
    13      2    842    100
    13   1916    949    100
    14      0    839     99
    14   1910    955     99
    15      2    839     98
    15   1912    958     98
    16      1    845     97
    16   1918    958     97
    17      7    846     96
    17   1916    955     96
    18      5    842     95
    18   1913    955     95
    19      5    842     94
    19   1910    955     94
    20      0    845     93
    20   1916    955     93
    21      2    842     92
    21   1913    955     92
    22      1    848     91
    22   1916    955     91
    23      0    845     90
    23   1910    955     90
    24      2    842     89
    24   1913    955     89
    25      2    839     88
    25   1918    958     88
    26      5    842     87
    26   1913    955     87
    27      2    842     86
    27   1913    955     86
    28      0    839     85
    28   1913    952     85
    29     11    837     84
    29   1913    952     84
    30      2    839    113
    30   1910    955    113
    31      2    842    114
    31   1913    955    114
    32      0    836    115
    32   1918    958    115
    33      0    836    116
    33   1916    949    116
    34      8    837    117
    34   1910    952    117
    35      0    839    118
    35   1913    952    118
    36      0    839    119
    36   1910    955    119
    37      0    836    120
    37   1913    949    120
    38      0    839    121
    38   1912    958    121
    39      0    836    122
    39   1910    952    122
    40      0    836    123
    40   1913    949    123
    41      2    839    124
    41   1910    952    124
    42      2    839    125
    42   1913    952    125
    43      2    839    126
    43   1916    955    126
    44      2    842    127
    44   1913    952    127
    45      0    836    128
    45   1909    958    128
    46      4    845    129
    46   1913    952    129
    47      4    848    130
    47   1916    952    130
    48      0    842    131
    48   1913    955    131
    49      0    842    132
    49   1910    955    132
    50      0    842    133
    50   1909    958    133
    51      0    842    134
    51   1913    952    134
    52      0    839    135
    52   1913    955    135
    53      0    839    136
    53   1915    958    136
    54      8    843    137
    54   1910    952    137
    55      0    839    138
    55   1913    955    138
    56      5    842    139
    56   1919    955    139
    57      1    845    140
    57   1907    954    140
    58      2    842    141
    58   1913    955    141
    59      5    842    142
    59   1913    952    142
    60      2    842    143
    60   1912    958    143
    61      4    845    144
    61   1909    958    144
    62      2    842    145
    62   1913    955    145
    63      5    842    146
    63   1916    949    146
    64      5    842    147
    64   1916    955    147
    65      0    842    148
    65   1916    952    148
    66      7    846    149
    66   1913    949    149
    67      1    845    150
