fil,X,Y,Z,ydir,zdir,length,relative_angle,relative_angle_90,dot_product
1,762,309,53,23.82911136360654,12.970542395508819,44.553338819890925,87.96733831757248,-2.0326616824275106,-0.0354691976373189
1,721,327,43,23.82911136360654,12.970542395508819,44.553338819890925,87.96733831757248,-2.0326616824275106,-0.0354691976373189
2,833,302,60,-27.459246940917406,4.4076948048607765,117.10678887237921,78.6505895867229,-11.349410413277104,-0.19679172825047037
2,780,276,57,-27.459246940917406,4.4076948048607765,117.10678887237921,78.6505895867229,-11.349410413277104,-0.19679172825047037
2,729,248,51,-27.459246940917406,4.4076948048607765,117.10678887237921,78.6505895867229,-11.349410413277104,-0.19679172825047037
3,914,317,37,5.697343651433747,-10.727489346540029,80.58535847162312,104.04413047144058,14.04413047144058,0.24266916690784202
3,877,318,42,5.697343651433747,-10.727489346540029,80.58535847162312,104.04413047144058,14.04413047144058,0.24266916690784202
3,850,323,44,5.697343651433747,-10.727489346540029,80.58535847162312,104.04413047144058,14.04413047144058,0.24266916690784202
3,834,325,52,5.697343651433747,-10.727489346540029,80.58535847162312,104.04413047144058,14.04413047144058,0.24266916690784202
4,870,307,45,-65.39637565174877,0.7235453805012847,79.18964578781748,71.97489101023672,-18.02510898976328,-0.3094337505063192
4,859,280,43,-65.39637565174877,0.7235453805012847,79.18964578781748,71.97489101023672,-18.02510898976328,-0.3094337505063192
4,847,258,44,-65.39637565174877,0.7235453805012847,79.18964578781748,71.97489101023672,-18.02510898976328,-0.3094337505063192
4,837,235,44,-65.39637565174877,0.7235453805012847,79.18964578781748,71.97489101023672,-18.02510898976328,-0.3094337505063192
5,1203,386,76,-17.659021987394933,10.356009932305192,89.00561780022652,72.31679999639653,-17.68320000360348,-0.3037537129840786
5,1220,378,74,-17.659021987394933,10.356009932305192,89.00561780022652,72.31679999639653,-17.68320000360348,-0.3037537129840786
5,1243,369,63,-17.659021987394933,10.356009932305192,89.00561780022652,72.31679999639653,-17.68320000360348,-0.3037537129840786
5,1266,364,61,-17.659021987394933,10.356009932305192,89.00561780022652,72.31679999639653,-17.68320000360348,-0.3037537129840786
5,1288,359,60,-17.659021987394933,10.356009932305192,89.00561780022652,72.31679999639653,-17.68320000360348,-0.3037537129840786
6,1251,378,61,15.366921305198227,1.8223093633508658,94.33981132056604,91.43708522242628,1.4370852224262776,0.025079239011286027
6,1261,381,61,15.366921305198227,1.8223093633508658,94.33981132056604,91.43708522242628,1.4370852224262776,0.025079239011286027
6,1275,384,61,15.366921305198227,1.8223093633508658,94.33981132056604,91.43708522242628,1.4370852224262776,0.025079239011286027
6,1316,395,58,15.366921305198227,1.8223093633508658,94.33981132056604,91.43708522242628,1.4370852224262776,0.025079239011286027
6,1342,403,58,15.366921305198227,1.8223093633508658,94.33981132056604,91.43708522242628,1.4370852224262776,0.025079239011286027
7,1231,200,53,-31.200514603980633,-0.0,83.00602387778854,81.5891753538224,-8.410824646177595,-0.14626992493821905
7,1212,187,54,-31.200514603980633,-0.0,83.00602387778854,81.5891753538224,-8.410824646177595,-0.14626992493821905
7,1191,173,55,-31.200514603980633,-0.0,83.00602387778854,81.5891753538224,-8.410824646177595,-0.14626992493821905
7,1160,157,53,-31.200514603980633,-0.0,83.00602387778854,81.5891753538224,-8.410824646177595,-0.14626992493821905
8,1250,203,55,28.0460903897244,-1.6839565399867533,34.02939905434711,102.88575828398415,12.885758283984153,0.2230078177607567
8,1236,211,55,28.0460903897244,-1.6839565399867533,34.02939905434711,102.88575828398415,12.885758283984153,0.2230078177607567
8,1220,219,56,28.0460903897244,-1.6839565399867533,34.02939905434711,102.88575828398415,12.885758283984153,0.2230078177607567
17,772,252,58,-16.743406758079182,-6.4481909136803095,204.79990234372673,88.28539264875117,-1.7146073512488242,-0.029921077280452596
17,809,240,63,-16.743406758079182,-6.4481909136803095,204.79990234372673,88.28539264875117,-1.7146073512488242,-0.029921077280452596
17,838,227,67,-16.743406758079182,-6.4481909136803095,204.79990234372673,88.28539264875117,-1.7146073512488242,-0.029921077280452596
17,889,211,62,-16.743406758079182,-6.4481909136803095,204.79990234372673,88.28539264875117,-1.7146073512488242,-0.029921077280452596
17,914,205,68,-16.743406758079182,-6.4481909136803095,204.79990234372673,88.28539264875117,-1.7146073512488242,-0.029921077280452596
17,947,199,76,-16.743406758079182,-6.4481909136803095,204.79990234372673,88.28539264875117,-1.7146073512488242,-0.029921077280452596
17,968,193,81,-16.743406758079182,-6.4481909136803095,204.79990234372673,88.28539264875117,-1.7146073512488242,-0.029921077280452596
18,900,202,58,-46.25763981016835,20.54281836549157,48.4458460551573,55.46554231620919,-34.53445768379081,-0.5669017639839731
18,934,167,41,-46.25763981016835,20.54281836549157,48.4458460551573,55.46554231620919,-34.53445768379081,-0.5669017639839731
19,849,327,81,-30.37122461474694,40.138739362885204,79.11384202527394,51.433133915104975,-38.566866084895025,-0.6234275423188915
19,832,320,71,-30.37122461474694,40.138739362885204,79.11384202527394,51.433133915104975,-38.566866084895025,-0.6234275423188915
19,820,311,61,-30.37122461474694,40.138739362885204,79.11384202527394,51.433133915104975,-38.566866084895025,-0.6234275423188915
19,812,306,54,-30.37122461474694,40.138739362885204,79.11384202527394,51.433133915104975,-38.566866084895025,-0.6234275423188915
19,798,294,41,-30.37122461474694,40.138739362885204,79.11384202527394,51.433133915104975,-38.566866084895025,-0.6234275423188915
19,789,290,35,-30.37122461474694,40.138739362885204,79.11384202527394,51.433133915104975,-38.566866084895025,-0.6234275423188915
19,780,287,30,-30.37122461474694,40.138739362885204,79.11384202527394,51.433133915104975,-38.566866084895025,-0.6234275423188915
20,800,310,52,22.876346619336704,4.179963541159116,41.15823125451335,95.74157211083374,5.74157211083375,0.10004170621665122
20,784,317,51,22.876346619336704,4.179963541159116,41.15823125451335,95.74157211083374,5.74157211083375,0.10004170621665122
20,762,326,49,22.876346619336704,4.179963541159116,41.15823125451335,95.74157211083374,5.74157211083375,0.10004170621665122
