fil,X,Y,Z,ydir,zdir,length,relative_angle,relative_angle_90,dot_product
1,1486,1169,44,78.39698732802401,-7.600318314895352,241.9442084448396,130.6018811612833,40.601881161283316,0.6507991456585152
1,1454,1196,52,78.39698732802401,-7.600318314895352,241.9442084448396,130.6018811612833,40.601881161283316,0.6507991456585152
1,1439,1219,65,78.39698732802401,-7.600318314895352,241.9442084448396,130.6018811612833,40.601881161283316,0.6507991456585152
1,1431,1236,66,78.39698732802401,-7.600318314895352,241.9442084448396,130.6018811612833,40.601881161283316,0.6507991456585152
1,1423,1261,68,78.39698732802401,-7.600318314895352,241.9442084448396,130.6018811612833,40.601881161283316,0.6507991456585152
1,1424,1285,69,78.39698732802401,-7.600318314895352,241.9442084448396,130.6018811612833,40.601881161283316,0.6507991456585152
1,1430,1320,71,78.39698732802401,-7.600318314895352,241.9442084448396,130.6018811612833,40.601881161283316,0.6507991456585152
1,1436,1368,74,78.39698732802401,-7.600318314895352,241.9442084448396,130.6018811612833,40.601881161283316,0.6507991456585152
1,1438,1406,76,78.39698732802401,-7.600318314895352,241.9442084448396,130.6018811612833,40.601881161283316,0.6507991456585152
11,1346,1206,88,-53.46108005017171,-6.921992615655675,248.9256917234539,23.79204011817526,-66.20795988182473,-0.9150157220127896
11,1380,1172,94,-53.46108005017171,-6.921992615655675,248.9256917234539,23.79204011817526,-66.20795988182473,-0.9150157220127896
11,1402,1147,97,-53.46108005017171,-6.921992615655675,248.9256917234539,23.79204011817526,-66.20795988182473,-0.9150157220127896
11,1428,1110,103,-53.46108005017171,-6.921992615655675,248.9256917234539,23.79204011817526,-66.20795988182473,-0.9150157220127896
11,1446,1092,105,-53.46108005017171,-6.921992615655675,248.9256917234539,23.79204011817526,-66.20795988182473,-0.9150157220127896
11,1464,1064,109,-53.46108005017171,-6.921992615655675,248.9256917234539,23.79204011817526,-66.20795988182473,-0.9150157220127896
11,1494,1006,118,-53.46108005017171,-6.921992615655675,248.9256917234539,23.79204011817526,-66.20795988182473,-0.9150157220127896
12,1419,1148,100,13.531037280736369,6.448297595092209,106.85036265731624,44.37407758039968,-45.62592241960032,-0.7147891562828484
12,1456,1158,104,13.531037280736369,6.448297595092209,106.85036265731624,44.37407758039968,-45.62592241960032,-0.7147891562828484
12,1483,1165,95,13.531037280736369,6.448297595092209,106.85036265731624,44.37407758039968,-45.62592241960032,-0.7147891562828484
12,1523,1173,88,13.531037280736369,6.448297595092209,106.85036265731624,44.37407758039968,-45.62592241960032,-0.7147891562828484
25,1602,857,127,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1590,861,123,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1578,864,119,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1557,872,112,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1543,877,108,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1504,888,86,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1485,894,80,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1472,897,76,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1454,899,69,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1434,899,65,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1415,900,59,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
25,1397,904,54,12.934674214465087,20.34464506364832,209.9714266275295,156.3052542217981,66.30525422179811,0.915699449495246
26,1433,912,62,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1432,923,60,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1432,935,57,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1431,945,55,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1430,954,53,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1428,968,50,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1427,987,47,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1426,995,45,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1426,1009,49,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1426,1010,49,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
26,1430,1025,47,,7.6344674933466905,112.90704141017954,121.60222672270743,31.60222672270743,0.5240190067856704
